epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.2814,0.46838,0.64453,2.10073,1.068,0.87483,0.86077,0.93141,0.89797,0.87483,0.86077,0.93141,0.92748,0.49332,0.26403,1.16829,1.1582,0.000414604,0.000414604,0.000414604
2,101.159,0.4442,0.41839,1.14134,1.03143,0.96717,0.87984,0.995,0.90923,0.96717,0.87984,0.995,0.95976,0.5177,0.47228,1.02654,1.18862,0.000790123,0.000790123,0.000790123
3,146.315,0.42696,0.41327,0.9277,1.02577,0.86878,0.75,0.81465,0.74292,0.86878,0.75,0.81465,0.78445,0.50832,0.30526,1.40595,1.16298,0.00112439,0.00112439,0.00112439
4,192.278,0.42246,0.40274,0.83212,1.01777,0.98874,1,0.995,0.94158,0.98874,1,0.995,0.86166,0.46008,1.67729,0.72648,1.11975,0.00106437,0.00106437,0.00106437
5,237.394,0.40473,0.37606,0.70611,1.00217,0.87742,0.97589,0.995,0.87693,0.87742,0.97589,0.995,0.97312,0.58552,0.25044,0.7455,1.35192,0.0010025,0.0010025,0.0010025
6,283.707,0.37939,0.38043,0.65981,0.99068,0.9976,1,0.995,0.96231,0.9976,1,0.995,0.98826,0.37177,0.25678,0.43431,1.02223,0.000940625,0.000940625,0.000940625
7,328.428,0.3669,0.35751,0.58116,0.98081,0.93358,0.93593,0.995,0.97585,0.93358,0.93593,0.995,0.98019,0.27645,0.22946,0.54274,0.84855,0.00087875,0.00087875,0.00087875
8,373.953,0.35998,0.35675,0.52526,0.97817,0.96575,0.99576,0.995,0.95375,0.96575,0.99576,0.995,0.99415,0.33064,0.23579,0.42775,0.95969,0.000816875,0.000816875,0.000816875
9,418.325,0.34752,0.32411,0.47604,0.97045,0.99837,1,0.995,0.96404,0.99837,1,0.995,0.995,0.31309,0.2153,0.33324,0.90516,0.000755,0.000755,0.000755
10,464.317,0.33513,0.32732,0.46009,0.96567,0.99379,1,0.995,0.95626,0.99379,1,0.995,0.995,0.33859,0.22218,0.38289,0.91261,0.000693125,0.000693125,0.000693125
11,508.214,0.19657,0.20726,0.40696,0.96215,0.99744,1,0.995,0.97573,0.99744,1,0.995,0.995,0.3197,0.2063,0.33273,0.87287,0.00063125,0.00063125,0.00063125
12,550.905,0.1758,0.1927,0.29339,0.9352,0.99622,1,0.995,0.95291,0.99622,1,0.995,0.995,0.35763,0.2262,0.33586,0.98115,0.000569375,0.000569375,0.000569375
13,592.812,0.15839,0.18605,0.25591,0.92311,0.99712,1,0.995,0.97929,0.99712,1,0.995,0.995,0.24373,0.19496,0.22923,0.77983,0.0005075,0.0005075,0.0005075
14,634.558,0.14774,0.18533,0.21471,0.91417,0.99835,1,0.995,0.99034,0.99835,1,0.995,0.995,0.21087,0.20164,0.21156,0.76221,0.000445625,0.000445625,0.000445625
15,676.966,0.13462,0.17985,0.20014,0.9091,0.99881,1,0.995,0.98556,0.99881,1,0.995,0.995,0.18662,0.20071,0.22338,0.73075,0.00038375,0.00038375,0.00038375
16,718.72,0.11864,0.17547,0.1698,0.90604,0.99868,1,0.995,0.99336,0.99868,1,0.995,0.995,0.18571,0.18293,0.20353,0.73366,0.000321875,0.000321875,0.000321875
17,760.534,0.11225,0.17282,0.15686,0.90595,0.99867,1,0.995,0.99421,0.99867,1,0.995,0.995,0.15727,0.18841,0.1438,0.7077,0.00026,0.00026,0.00026
18,803.096,0.10536,0.16972,0.14821,0.89217,0.99856,1,0.995,0.995,0.99856,1,0.995,0.995,0.1692,0.19397,0.19306,0.7152,0.000198125,0.000198125,0.000198125
19,846.414,0.09596,0.17046,0.13191,0.89195,0.99878,1,0.995,0.99445,0.99878,1,0.995,0.995,0.17407,0.18825,0.19075,0.72646,0.00013625,0.00013625,0.00013625
20,888.55,0.09467,0.16765,0.13022,0.89156,0.99882,1,0.995,0.99207,0.99882,1,0.995,0.995,0.15928,0.19038,0.18787,0.71048,7.4375e-05,7.4375e-05,7.4375e-05
